metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg % ident	avg align len	# hits	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	1	-27	69.23	91	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	2	-25	65.6	91.5	2	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	1	-27	69.23	91	1	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	1	-27	69.23	91	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10)	1	-27	69.23	91	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	1	-75	66.67	201	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	1	-75	66.67	201	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	1	-75	66.67	201	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Glycine cleavage system H protein	1	-25	62.96	81	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Glycine cleavage system	Glycine dehydrogenase [decarboxylating] (glycine cleavage system P protein) (EC 1.4.4.2)	1	-110	70.23	262	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	2	-95	64.93	230	2	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1	-173	74.02	381	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	2	-94.5	64.96	228.5	2	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	1	-103	76.47	221	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	2	-93.5	64.96	226.5	2	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	Phosphoserine aminotransferase (EC 2.6.1.52)	1	-71	69.71	175	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	Phosphoserine aminotransferase (EC 2.6.1.52)	1	-71	69.71	175	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	Phosphoserine aminotransferase (EC 2.6.1.52)	1	-71	69.71	175	1	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	Phosphoserine aminotransferase (EC 2.6.1.52)	1	-71	69.71	175	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	Phosphoserine aminotransferase (EC 2.6.1.52)	1	-71	69.71	175	1	
mmetsp1433	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-100	81.9	210	1	
QPX_v15	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-100	81.9	210	1	
mmetsp98	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	2	-65	80.19	144.5	2	
mmetsp992	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-100	81.9	210	1	
mmetsp1002	Amino Acids and Derivatives	Alanine, serine, and glycine	Serine Biosynthesis	Serine hydroxymethyltransferase (EC 2.1.2.1)	1	-17	66.13	62	1	
mmetsp1433	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	Argininosuccinate lyase (EC 4.3.2.1)	1	-60	64.8	179	1
QPX_v15	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	Argininosuccinate lyase (EC 4.3.2.1)	1	-60	64.8	179	1
mmetsp98	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	Argininosuccinate lyase (EC 4.3.2.1)	1	-60	64.8	179	1
mmetsp992	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	Argininosuccinate lyase (EC 4.3.2.1)	2	-41.5	63.8	132.5	2
mmetsp1002	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	Argininosuccinate lyase (EC 4.3.2.1)	1	-60	64.8	179	1
mmetsp1433	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	Argininosuccinate synthase (EC 6.3.4.5)	1	-42	67.5	120	1
QPX_v15	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	Argininosuccinate synthase (EC 6.3.4.5)	1	-42	67.5	120	1
mmetsp98	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	Argininosuccinate synthase (EC 6.3.4.5)	1	-42	67.5	120	1
mmetsp992	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	Argininosuccinate synthase (EC 6.3.4.5)	1	-42	67.5	120	1
mmetsp1002	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	Argininosuccinate synthase (EC 6.3.4.5)	1	-42	67.5	120	1
mmetsp1433	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	N-acetylglutamate synthase (EC 2.3.1.1)	1	-7	61.36	44	1
mmetsp98	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	N-acetylglutamate synthase (EC 2.3.1.1)	1	-7	61.36	44	1
mmetsp1002	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine Biosynthesis extended	N-acetylglutamate synthase (EC 2.3.1.1)	1	-7	61.36	44	1
mmetsp1433	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine and Ornithine Degradation	Arginase (EC 3.5.3.1)	1	-18	63.08	65	1
mmetsp98	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine and Ornithine Degradation	Arginase (EC 3.5.3.1)	1	-18	63.08	65	1
mmetsp1433	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine and Ornithine Degradation	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-35.5	64.97	106	2
QPX_v15	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine and Ornithine Degradation	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-35.5	64.97	106	2
mmetsp98	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine and Ornithine Degradation	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-34.5	65.28	101.5	2
mmetsp992	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine and Ornithine Degradation	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	3	-34	65.05	104	3
mmetsp1002	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine and Ornithine Degradation	NADP-specific glutamate dehydrogenase (EC 1.4.1.4)	2	-35.5	64.97	106	2
mmetsp1433	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine and Ornithine Degradation	Ornithine aminotransferase (EC 2.6.1.13)	1	-85	61.28	235	1
mmetsp98	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine and Ornithine Degradation	Ornithine aminotransferase (EC 2.6.1.13)	2	-67.5	68.55	179.5	2
mmetsp1002	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Arginine and Ornithine Degradation	Ornithine aminotransferase (EC 2.6.1.13)	1	-85	61.28	235	1
mmetsp1433	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Cyanophycin Metabolism	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)	1	-68	76.1	159	1
mmetsp1433	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Polyamine Metabolism	Spermidine synthase (EC 2.5.1.16)	3	-30	61.91	100.33	3
QPX_v15	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Polyamine Metabolism	Spermidine synthase (EC 2.5.1.16)	3	-30	61.91	100.33	3
mmetsp1002	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Polyamine Metabolism	Spermidine synthase (EC 2.5.1.16)	3	-28.75	61.6	98.75	3
mmetsp992	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Urea decomposition	Urease accessory protein UreG	1	-65	77.36	159	1
mmetsp1002	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Urea decomposition	Urease accessory protein UreG	1	-65	77.36	159	1
mmetsp1433	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Urea decomposition	Urease alpha subunit (EC 3.5.1.5)	1	-183	68.49	457	1
QPX_v15	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Urea decomposition	Urease alpha subunit (EC 3.5.1.5)	1	-183	68.49	457	1
mmetsp98	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Urea decomposition	Urease alpha subunit (EC 3.5.1.5)	1	-183	68.49	457	1
mmetsp992	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Urease subunits	Urease accessory protein UreG	1	-65	77.36	159	1
mmetsp1002	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Urease subunits	Urease accessory protein UreG	1	-65	77.36	159	1
mmetsp1433	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Urease subunits	Urease alpha subunit (EC 3.5.1.5)	1	-183	68.49	457	1
QPX_v15	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Urease subunits	Urease alpha subunit (EC 3.5.1.5)	1	-183	68.49	457	1
mmetsp98	Amino Acids and Derivatives	Arginine	 urea cycle, polyamines	Urease subunits	Urease alpha subunit (EC 3.5.1.5)	1	-183	68.49	457	1
mmetsp1433	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic amino acid degradation	Indoleacetamide hydrolase (EC 3.5.1.-)	1	-16	60.94	64	1	
mmetsp992	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic amino acid degradation	Indoleacetamide hydrolase (EC 3.5.1.-)	1	-16	60.94	64	1	
mmetsp98	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Aromatic amino acid degradation	Tryptophan 2,3-dioxygenase (EC 1.13.11.11)	1	-18	65	60	1	
mmetsp1433	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	4-amino-4-deoxychorismate synthase, amidotransferase component , aminase component (EC 2.6.1.-)	1	-40	68.07	119	1	
mmetsp98	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	4-amino-4-deoxychorismate synthase, amidotransferase component , aminase component (EC 2.6.1.-)	1	-40	68.07	119	1	
mmetsp992	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	4-amino-4-deoxychorismate synthase, amidotransferase component , aminase component (EC 2.6.1.-)	1	-40	68.07	119	1	
mmetsp1002	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	4-amino-4-deoxychorismate synthase, amidotransferase component , aminase component (EC 2.6.1.-)	1	-40	68.07	119	1	
mmetsp1433	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	2	-52	67.82	148.5	2	
QPX_v15	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	2	-52	67.82	148.5	2	
mmetsp98	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	2	-52	67.82	148.5	2	
mmetsp992	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	1	-25	62.5	96	1	
mmetsp1002	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	Anthranilate synthase, amidotransferase component (EC 4.1.3.27)	3	-43	66.04	131	2	
mmetsp1433	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	Anthranilate synthase, aminase component (EC 4.1.3.27)	1	-79	73.13	201	1	
QPX_v15	Amino Acids and Derivatives	Aromatic amino acids and derivatives	Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more.	Anthranilate synthase, aminase component (EC 4.1.3.27)	1	-79	73.13	201	1	
